,KO,Description,hsa,ptr,pps,ggo,pon,ppyg
0,K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",0,0,0,0,0,0
1,K00002,"AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]",1,1,1,1,1,1
2,K00003,hom; homoserine dehydrogenase [EC:1.1.1.3],0,0,0,0,0,0
3,K00004,"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]",0,0,0,0,0,0
4,K00005,gldA; glycerol dehydrogenase [EC:1.1.1.6],0,0,0,0,0,0
5,K00006,GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],1,1,1,1,1,1
6,K00007,dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11],0,0,0,0,0,0
7,K00008,"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]",1,1,1,1,1,1
8,K00009,mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17],0,0,0,0,0,0
9,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],0,0,0,0,0,0
10,K00011,AKR1B; aldehyde reductase [EC:1.1.1.21],1,1,1,1,1,1
11,K00012,"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]",1,1,1,1,1,1
12,K00013,hisD; histidinol dehydrogenase [EC:1.1.1.23],0,0,0,0,0,0
13,K00014,aroE; shikimate dehydrogenase [EC:1.1.1.25],0,0,0,0,0,0
14,K00015,"gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]",0,0,0,0,0,0
15,K00016,"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]",1,1,1,1,1,1
16,K00018,hprA; glycerate dehydrogenase [EC:1.1.1.29],0,0,0,0,0,0
17,K00019,"BDH1, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]",1,1,1,1,1,1
18,K00020,"HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]",1,1,1,1,1,1
19,K00021,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],1,1,1,1,1,1
20,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],1,1,1,1,1,1
21,K00023,phbB; acetoacetyl-CoA reductase [EC:1.1.1.36],0,0,0,0,0,0
22,K00024,mdh; malate dehydrogenase [EC:1.1.1.37],0,0,0,0,0,0
23,K00025,MDH1; malate dehydrogenase [EC:1.1.1.37],1,1,1,1,1,1
24,K00026,MDH2; malate dehydrogenase [EC:1.1.1.37],1,1,1,1,1,1
25,K00027,"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]",1,1,1,1,1,1
26,K00028,E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39],0,0,0,0,0,0
27,K00029,maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],1,1,1,1,1,1
28,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],1,1,1,1,1,1
29,K00031,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",1,1,1,1,1,1
30,K00032,E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43],0,0,0,0,0,0
31,K00033,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",1,1,1,1,1,1
32,K00034,gdh; glucose 1-dehydrogenase [EC:1.1.1.47],0,0,0,0,0,0
33,K00035,gal; D-galactose 1-dehydrogenase [EC:1.1.1.48],0,0,0,0,0,0
34,K00036,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]",1,1,1,1,1,1
35,K00037,AKR1C4; 3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225],1,1,1,1,1,1
36,K00038,fabG3; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53],0,0,0,0,0,0
37,K00039,rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56],0,0,0,0,0,0
38,K00040,uxuB; fructuronate reductase [EC:1.1.1.57],0,0,0,0,0,0
39,K00041,uxaB; tagaturonate reductase [EC:1.1.1.58],0,0,0,0,0,0
40,K00042,"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]",0,0,0,0,0,0
41,K00043,gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61],0,0,0,0,0,0
42,K00044,HSD17B1; 17beta-estradiol 17-dehydrogenase [EC:1.1.1.62],1,1,1,1,1,1
43,K00045,"mtlK, MAN; mannitol 2-dehydrogenase [EC:1.1.1.67]",0,0,0,0,0,0
44,K00046,idnO; gluconate 5-dehydrogenase [EC:1.1.1.69],0,0,0,0,0,0
45,K00048,fucO; lactaldehyde reductase [EC:1.1.1.77],0,0,0,0,0,0
46,K00049,GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],1,1,1,1,1,1
47,K00051,E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82],0,0,0,0,0,0
48,K00052,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]",0,0,0,0,0,0
49,K00053,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86],0,0,0,0,0,0
50,K00054,mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88],0,0,0,0,0,0
51,K00055,E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90],0,0,0,0,0,0
52,K00057,gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],0,0,0,0,0,0
53,K00058,"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]",1,1,1,1,1,1
54,K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]",0,0,0,0,0,0
55,K00060,tdh; threonine 3-dehydrogenase [EC:1.1.1.103],0,0,0,0,0,0
56,K00061,RDH5; 11-cis-retinol dehydrogenase [EC:1.1.1.315],1,1,1,1,1,1
57,K00062,ARA2; D-arabinose 1-dehydrogenase [EC:1.1.1.116],0,0,0,0,0,0
58,K00063,ARA1; D-arabinose 1-dehydrogenase [EC:1.1.1.117],0,0,0,0,0,0
59,K00064,E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],0,0,0,0,0,0
60,K00065,kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127],0,0,0,0,0,0
61,K00066,algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132],0,0,0,0,0,0
62,K00067,"rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]",0,0,0,0,0,0
63,K00068,srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140],0,0,0,0,0,0
64,K00069,HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141],1,1,1,1,1,1
65,K00070,HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1],1,1,1,1,1,1
66,K00071,HSD11B2; corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-],1,1,1,1,1,1
67,K00072,SPR; sepiapterin reductase [EC:1.1.1.153],1,1,1,1,1,1
68,K00073,allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350],0,0,0,0,0,0
69,K00074,"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]",0,0,0,0,0,0
70,K00075,murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],0,0,0,0,0,0
71,K00076,hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159],0,0,0,0,0,0
72,K00077,"panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]",0,0,0,0,0,0
73,K00078,DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179],1,1,1,1,1,1
74,K00079,CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197],1,1,1,1,1,1
75,K00081,CBR2; carbonyl reductase 2 [EC:1.1.1.184],0,0,0,0,0,0
76,K00082,ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193],0,0,0,0,0,0
77,K00083,CAD; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195],0,0,0,0,0,0
78,K00084,CBR3; carbonyl reductase 3 [EC:1.1.1.184],1,1,1,1,1,1
79,K00085,E1.1.1.200; aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200],0,0,0,0,0,0
